email,category
maybe you need to be a little clearer in how you can help him because of your close personal contacts jeff alhamd alkhayat enron am to jeffrey a shankman hou ect ect cc subject re egypt lng fyi this is what i got from eric alhamd alkhayat enron corp  this message including any attachments contains confidential information intended for a specific individual and purpose and is protected by law if you are not the intended recipient you should delete this message and are hereby notified that any disclosure copying or distribution of this message or the taking of any action based on it is strictly prohibited forwarded by alhamd alkhayat na enron on am eric gonzales ect am to alhamd alkhayat na enron enron cc rick bergsieker enron development enron development clay harris enron development enron development subject re egypt lng alhamd thank you for your information and interest in this area rick bergsieker and clay harris are already in discussion with the egyptian energy ministry for possible participation by enron in a liquifaction project please feel free to exchange ideas and thoughts with rick and clay directly however in order to avoid creating any confusion with our egyptian counter parts i strongly prefer to only have our current commercial team involved these discussions at this time regards eric gonzales  alhamd alkhayat enron alhamd alkhayat enron alhamd alkhayat enron   to eric gonzales lon ect ect cc jeffrey a shankman hou ect ect mike mcconnell hou ect ect subject egypt lng eric hoping all is well wanted to have a quick chat with you when you are next in houston about the egypt lng opportunity i had a meeting with the minister and the deputy minister for technical affairs and both were intereseted in increased participation in the lng field in egypt they are interested in diverse off takers and are interested in investing in new facilities egpc would like to own of such a new facility and local arab investors can be found for the remaining equity they know they don t know how to project finance such deals and they know they need a strong international name as an at least partial off take they alluded that the situation with finosa although progressing is not as it appears in the press at any case i believe we have enough elements to warrant a conversations and i have good contacts in egypt that could help push such a project forward cheers hamd alhamd alkhayat enron corp  this message including any attachments contains confidential information intended for a specific individual and purpose and is protected by law if you are not the intended recipient you should delete this message and are hereby notified that any disclosure copying or distribution of this message or the taking of any action based on it is strictly prohibited,0
thanks for rounding up the tickets for the orange bowl you can mail them to me or just hold them until i see you after christmas mike s wife decided not to make the trip so he won t be using the tickets jody crook will use the other two tickets lunch during the week between christmas and new years sounds great to me i will be working that week but would be glad to meet you guys at champions for lunch if that is best or if you are game for irma s just let me know when you would like to come downtown sally jacobs ted k tjacobs ou edu on am to sally beck sally beck enron com mike s mcconnell e mail mmcconn ect enron com cc subject lunch sally mike i will be in houston the week after christmas and was wondering if the two of you were going to be in the office and if so would you be available for lunch in talking with david beck he was going to try to arrange a golf game mike me richard kimberlin and david one of those afternoons at champions if that is possible then maybe lunch before golf might work if not then i can meet you downtown when convenient let me know what your schedules are like and i will plan my schedule accordingly also i need to know if i need to mail the orange bowl tickets to both of you separately or just one of you didn t know if you are planning on going to miami together i should receive the tickets in the next day or two and will do whatever ought to be a fun trip as it has definitely been awhile since the sooners have been to miami anyway let me know if you are available for lunch gold or just lunch hope you all have a wonderful holiday season and most of all get to spend time with your families ted k jacobs director energy management the university of oklahoma west brooks room norman ok  fax email tjacobs ou edu website www ou edu business em c dtf,0
forwarded by daren j farmer hou ect on pm from donna greif pm to kathryn bussell hou ect ect robert cotten hou ect ect mark mcclure hou ect ect gary l payne hou ect richard pinion hou ect ect robert superty hou ect ect george smith hou ect ect katherine l kelly hou ect ect randall l gay hou ect ect daren j farmer hou ect ect edward terry hou ect ect cc dave nommensen hou ect ect diane e niestrath hou ect ect carrie hollomon hou ect ect bryce baxter hou ect ect kathryn cordes hou ect ect dana daigle corp enron enron elizabeth l hernandez hou ect ect julie meyers hou ect ect b scott palmer hou ect ect stephanie sever hou ect ect dianne j swiber hou ect ect peggy hedstrom cal ect ect dianne seib cal ect ect sylvia a campos hou ect ect linda s bryan hou ect ect faye ellis hou ect ect donna consemiu hou ect ect scott mills hou ect ect russ severson hou ect ect martha stevens hou ect ect karie hastings hou ect ect regina perkins hou ect ect imelda frayre hou ect ect william e kasemervisz hou ect ect hunaid engineer hou ect ect steven gullion hou ect ect larrissa sharma hou ect ect thomas engel hou ect ect subject re sitara release re changes in global due to consent to assignment fyi this change went in for the deal validation group it gives them the ability to change counterparties names after bridge back impact to logistics unify if a counterparty name change takes place to deals that have been bridge backed it could cause problems on edi pipes as that new counterparty name will flow over to unify and repathing should eventually take place one problem may be with the imbalance data sets which are not in production yet edi imbalance qtys would not match up to paths this may also cause an issue with the scheduled quantities especially where nominations were sent for entire month can t remember the rules on this one but i think unify does have some safe guards idiot proofs to force re pathing unify does have the ability to over ride duns numbers yet would still cause an additional step for edi the scheduler would need to think through in order to get a clean quick response what are if any impacts to vol mgt if counterparty name changes take place prior periods re pathing i have a call into diane and dave both after speaking w them hopefully i can get a clear understanding of the true impact i am sure we ll need to put some processes and procedures together for deal validation to follow when these type of changes are needed will keep you posted thanks dg from thomas engel am to kathryn cordes hou ect ect dana daigle corp enron enron elizabeth l hernandez hou ect ect julie meyers hou ect ect b scott palmer hou ect ect stephanie sever hou ect ect dianne j swiber hou ect ect peggy hedstrom cal ect ect dianne seib cal ect ect cc sylvia a campos hou ect ect linda s bryan hou ect ect faye ellis hou ect ect donna consemiu hou ect ect scott mills hou ect ect russ severson hou ect ect martha stevens hou ect ect karie hastings hou ect ect regina perkins hou ect ect imelda frayre hou ect ect william e kasemervisz hou ect ect hunaid engineer hou ect ect steven gullion hou ect ect larrissa sharma hou ect ect donna greif hou ect ect subject sitara release re changes in global due to consent to assignment regarding the ability to change counterparties on deals in sitara with confirmed volumes tom s words of caution if someone calls you and wants to change a counterparty we created the ability for you to invalidate the deal and then change the counterparty however i did add a warning message warning changing counterparty on deal with confirmed volumes make sure pipeline allows this change some pipelines do not allow us to change counterparties after there is feedback i assume for the same reasons we had this rule it used to blow up our old scheduling systems pre unify some pipelines will require a new deal and we will have to zero out the old deal before you make the change make sure the logistics person is aware just in case it causes problems with their pipeline sorry i don t know which pipes these are you will have to ask the unify team there is one rule still in place you can change from ena im east to ena im market east but not from ena im texas to hplc im hplc when changing business units they must be the same legal entity warning not the same legal entity also beware of making contract and counterparty changes to service deals transport capacity storage cash out once the deal is invalidated there are no rules don t forget the items were locked down for a reason if you invalidate a service deal and change the previously locked down data that was validated and someone used these deals in unify it is highly likely that the unify deals and paths created using these deals will get corrupted always check with someone from unify to make sure no one used these deals for anything in unify forwarded by thomas engel hou ect on am from scott mills on pm to kathryn cordes hou ect ect dana daigle corp enron enron elizabeth l hernandez hou ect ect julie meyers hou ect ect b scott palmer hou ect ect stephanie sever hou ect ect dianne j swiber hou ect ect cc steve jackson hou ect ect thomas engel hou ect ect sylvia a campos hou ect ect linda s bryan hou ect ect faye ellis hou ect ect donna consemiu hou ect ect subject sitara release re changes in global due to consent to assignment with the release that was put out tuesday evening deal validation should be able to change the counterparty on deals where the volume is something other than expected e g confirmed nominated scheduled etc in addition this release will also capture near time the contract changes that are made in global this means that need for server bounces will not be necessary new changes to contracts will show up without having to get out of deal manager new counterparties and new changes to facilities will require getting out of all active sitara apps except for launch pad once out of all apps start a new app the respective information that you are looking for will appear i mention near time because we are constrained by the amount of time it takes for the change in global data to trigger an alert for sitara who then updates its information srm x cyndie balfour flanagan enron pm to connie sutton hou ect ect linda s bryan hou ect ect kathryn cordes hou ect ect scott mills hou ect ect richard elwood hou ect ect dave nommensen hou ect ect kenneth m harmon hou ect ect dana daigle corp enron enron kathryn cordes hou ect ect elizabeth l hernandez hou ect ect julie meyers hou ect ect b scott palmer hou ect ect stephanie sever hou ect ect dianne j swiber hou ect ect gayle horn corp enron enron brant reves hou ect ect russell diamond hou ect ect debbie r brackett hou ect ect steve jackson hou ect ect cc subject changes in global due to consent to assignment the following changes will be made in the global contracts database due to receipt of executed consent to assignment for the following contracts current counterparty name contract type contract new counterparty name ces commonwealth energy services gisb commonwealth energy services ces samuel gary jr associates inc gisb samuel gary jr associates ces south jersey gas company gisb south jersey gas company cp name change and contract type correction contract type different than that provided by ces per ces ces southwest gas corporation gisb per contract file ces southwest gas corporation master purchase sale interruptible will edit global  ces southwest gas corporation master sale firm created new global record to accommodate this k please note that southwest gas corporation has consented to the assignment of both of these contracts,0
t minus days,0
yep brian hoskins enron communications am to john arnold hou ect ect cc fangming zhu corp enron enron subject john are you available to install the enron messenger application today at pm brian brian t hoskins enron broadband services office mobile fax brian hoskins enron net,0
i talked to greg penman in chicago and he was looking for some infomation on lm s but i need to leave for the airport his number is if you could go through this rfp or call him to see what other info he needs that i haven t given him already thanks ben forwarded by benjamin rogers hou ect on pm from gregg penman enron pm sent by gregg penman enron to benjamin rogers hou ect ect cc subject rfp here is the rfp that we talked about any help you can provide would be great thanks gregg,0
come by whenever sarah wesner enron pm to john arnold hou ect ect cc subject edf trades switched to abn john i need to talk to you about this are you free today sarah,0
newport eva pao epao mba hbs edu on pm please respond to epao mba hbs edu to john arnold enron com cc subject re in i ll call original message from john arnold enron com mailto john arnold enron com sent sunday april pm to epao mba hbs edu subject pookie check this out www sailmainecoast com index html,0
didn t know i could do this i need the summer and winter fuel retention for zone to zone sl,0
i would be happy to meet them in whatever forum you chose,0
