email,category
ben recent version coal presentation let know questions rebecca x,0
sure maybe,0
hollis per phone conversation earlier today chart exhibiting differences monthly operational report mark fisher weekly mtd john ruiz numbers posted web cases include numbers end month discussed understanding chart pool source please let know viewing information incorrectly thanks ilan,0
alive health stress big part life hope well great job us gets much try help noticed west power already made fortune year must crazy rick,0
original message moore kevin g sent tuesday january pm roberts mike kaminski vince j bennett stephen shively hunter villarreal alex rangel ina rybarski amanda hillis kimberly stevens adam marquez jose hogan irena black tamara jae vuittonet laura shore geraldine subject fw weather class wednesday january th good morning research weather team presenting another weather class class conducted wednesdays room ecs speaker teacher jose marquez please join us assistants please forward groups everyone invited thanks kevin moore,0
dear mr larry campbell thank order bought jnpr may call order details tracking number order n aabf order entered order processing began order executed account details time date position jnpr may call contracts real cash total receive printed datek online confirmation postal mail electronic delivery subscribed service questions regarding transaction contact customer support department e mailing support datek com please reference order tracking number,0
palmisano left couple months ago start business jeff keeler dc office covering john issues steven j kean hou ees ees cc subject thanks call morning convention sounds interesting another note wondering john palmisano still works got call conference organizer emissions meeting cologne ger think spoken gathering forward email emissions coal group well determine interest regards jeff,0
would like hold day offsite either wednesday may thursday may please let know preference would carol st clair eb phone fax carol st clair enron com,0
fyi cig forwarded phillip k allen hou ect  enron north america corp rebecca w cantrell pm julie gomez hou ect ect stephanie miller corp enron enron chris meyer hou ect ect judy townsend hou ect ect theresa branney hou ect ect paul lucci den ect enron jane tholt hou ect ect steven p south hou ect ect frank ermis hou ect ect susan w pereira hou ect ect george smith hou ect ect randall l gay hou ect ect jim homco hou ect ect colleen sullivan hou ect ect hunter shively hou ect ect ray hamman hou ees ees robert superty hou ect ect edward terry hou ect ect scott neal hou ect ect tori kuykendall hou ect ect brenda h fletcher hou ect ect jeff coates hou ees ees john hodge corp enron enron janet edwards corp enron enron ruth concannon hou ect ect sylvia campos hou ect ect paul tate hou ees ees phillip k allen hou ect ect victor lamadrid hou ect ect barbara g dillard hou ect ect gary l payne hou ect ect cc subject comments order compliance filings fyi attached initial comments ena filed monday order compliance filings indicated pipelines columbia columbia gas pipelines priority list filed plain interventions,0
man trapped woman body really jeff fawcett susan office conference call socalgas right talking settlement document would guys pull attached file primary rights doc look particular reference section titled scheduling priority think ok want agree anything administer side meter make sense final telecon subject changes need sent socalgas asap take quick look send susan note saying thumbs thanks bunch forwarded susan scott et enron pm cherry brian tpbkc bcherry sempra com pm scott susan susan scott enron com cc subject fw socalgas settlement document revision added  original message sullivan glen j sent thursday april pm cherry brian tpbkc leslie john elsesser evie mccrea keith pocta r mark dasovich jeff beach tom burkholder john amirault paul alexander michael chancellor craig dingwall b douglass dan ses fawcett jeff porter doug rochman michael counihan rick bayless david day mike paul joe jimison john foss robert mcvay nancy w tpnwm cc lorenz lad tplpl nelson eric b tpebn morrow rick tp rmm follett b david tpdbf freeman kimberly hubbard lisa j angeles zenee g tpzga schavrien lee reed william brill thomas r van lierop jan tp jxv smith anne tpass harrigan james p tp jph surak thomas tp tms fair pam sakarias wayne p purves ralph fong ed whitaker sue subject socalgas settlement document revision attached new version gas industry settlement document socalgas sdg e think essentially terms settlement principle covered  addition adding material made changes language last version even changes may incorporate comments received socalgas sdg e management made attempt respond comments received date version change made issue commented necessarily mean agree disagree comment  especially new material yet final review socalgas sdg e management either  hopefully able correct problem last electronic version cause lot section numbering go haywire emailed opened printed even though looked fine computer printed fine computer lots sections mysteriously would renumber  also attaching latest draft appendix included full settlement revised version primary secondary receipt point access rights document attached deal points april filing  try send along appendices soon  glen sullivan sempra energy law dept gsullivan sempra com tel fax    gir n rtf primary rights doc,0
kathleen two revised master review agreed penalty section made changes article please let know ready close best regards debra perlingiere enron north america corp legal department smith street eb houston texas dperlin enron com phone fax,0
molly would like invite student interview sometimes late december things slow interviews direct reports george hopley vince forwarded vince j kaminski hou ect  vince j kaminski pm jinbaek kim jinbaek ieor berkeley edu enron cc vince j kaminski hou ect ect subject resume jinbaek shall invite interview houston vince jinbaek kim jinbaek ieor berkeley edu pm vkamins enron com cc subject resume dear mr kaminski hi ph student ieor department u c berkeley thanks presentation today gave knowledge interest electricity markets company mentioned presentation send resume give opportunity learn company hope join super saturday event jinbaek resume doc,0
asked review expedited basis material contracts ene ena change control type provisions please let us know contracts guidance may know need begin reviewing collecting information asap e weekend know someone receive e mail please forward may contact numbers thanks help regards njd nora j dobin senior counsel enron corp global finance smith street suite houston texas phone fax home,0
